#doc source pos typeindex type topic
#alpha : 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 
#beta : 0.01
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 34 292 information 5
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 35 14 supplied 7
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 36 730 informant 5
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 37 74 excellent 10
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 38 731 access 14
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 39 292 information 5
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 40 732 reliable 10
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 41 733 reporting 10
32 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing36 42 734 history 5
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 0 543 june 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 1 735 thai 30
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 2 264 national 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 3 736 agencysurveillance 28
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 4 703 suspected 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 5 172 arms 29
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 6 737 dealer 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 7 353 boonmee 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 8 548 khemkhaeng 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 9 353 boonmee 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 10 548 khemkhaeng 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 11 738 flew 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 12 546 nonthaburi 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 13 621 bangkok 30
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 14 543 june 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 15 353 boonmee 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 16 548 khemkhaeng 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 17 355 lim 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 18 356 chanarong 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 19 724 met 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 20 621 bangkok 30
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 21 739 western 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 22 740 restaurant 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 23 741 approximately 28
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 24 727 minutes 35
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 25 543 june 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 26 355 lim 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 27 356 chanarong 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 28 591 handling 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 29 742 financial 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 30 417 matters 35
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 31 743 shan 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 32 744 state 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 33 745 army 1
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 34 139 south 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 35 746 rebel 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 36 747 factions 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 37 748 fighting 28
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 38 744 state 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 39 77 peace 14
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 40 224 development 32
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 41 749 council 28
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 42 750 regime 4
33 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing37 43 751 burma 11
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 0 78 date 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 1 752 july 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 2 491 provided 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 3 492 cia 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 4 284 pakistani 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 5 285 criminal 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 6 86 investigation 17
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 7 286 unit 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 8 287 karachi 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 9 288 division 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 10 703 suspected 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 11 753 provider 15
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 12 754 counterfeit 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 13 294 identification 33
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 14 755 naeem 14
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 15 756 nawaz 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 16 602 jhangvi 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 17 757 picked 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 18 758 bhutto 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 19 759 nagar 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 20 562 home 11
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 21 760 neighborhood 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 22 761 landhi 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 23 722 town 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 24 543 june 14
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 25 762 connection 14
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 26 590 theft 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 27 571 computerized 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 28 264 national 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 29 572 identity 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 30 573 card 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 31 574 cnic 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 32 575 blanks 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 33 575 blanks 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 34 503 stolen 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 35 565 lahore 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 36 402 january 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 37 763 allegedly 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 38 579 kashif 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 39 580 inshan 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 40 581 ali 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 41 602 jhangvi 5
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 42 603 appeared 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 43 315 list 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 44 127 found 47
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 45 604 computer 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 46 507 hard 21
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 47 605 drive 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 48 581 ali 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 49 565 lahore 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 50 583 apartment 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 51 602 jhangvi 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 52 613 denied 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 53 589 involvement 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 54 135 charges 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 55 614 filed 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 56 602 jhangvi 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 57 615 released 16
34 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing38 58 459 day 16
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 0 78 date 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 1 764 september 35
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 2 491 provided 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 3 492 cia 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 4 284 pakistani 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 5 285 criminal 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 6 86 investigation 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 7 286 unit 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 8 287 karachi 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 9 288 division 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 10 276 note 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 11 765 activities 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 12 766 azeem 35
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 13 767 bhutani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 14 703 suspected 14
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 15 768 leadership 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 16 714 lashkar 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 17 602 jhangvi 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 18 292 information 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 19 491 provided 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 20 105 police 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 21 730 informant 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 22 731 access 14
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 23 732 reliable 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 24 733 reporting 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 25 734 history 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 26 543 june 14
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 27 767 bhutani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 28 769 visited 35
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 29 770 imam 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 30 771 ullah 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 31 772 korongi 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 32 773 road 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 33 774 mosque 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 34 775 conclusion 18
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 35 776 noon 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 36 777 prayers 38
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 37 778 accompanied 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 38 779 driver 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 39 780 possibly 34
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 40 781 mudassar 38
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 41 782 nausherwani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 42 783 drove 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 43 784 suzuki 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 44 785 mehran 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 45 786 license 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 46 787 kab 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 47 237 arrived 35
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 48 788 remained 11
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 49 577 office 38
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 50 774 mosque 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 51 789 complex 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 52 767 bhutani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 53 771 ullah 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 54 790 unknown 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 55 791 walked 38
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 56 789 complex 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 57 662 small 35
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 58 792 outbuilding 4
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 59 272 short 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 60 790 unknown 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 61 793 men 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 62 794 entered 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 63 600 building 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 64 795 witness 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 65 796 reports 11
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 66 600 building 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 67 797 large 14
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 68 161 hold 9
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 69 398 twenty 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 70 798 people 4
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 71 279 believed 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 72 793 men 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 73 465 meeting 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 74 767 bhutani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 75 771 ullah 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 76 770 imam 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 77 728 left 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 78 465 meeting 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 79 793 men 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 80 728 left 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 81 767 bhutani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 82 779 driver 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 83 728 left 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 84 784 suzuki 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 85 790 unknown 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 86 793 men 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 87 799 spoke 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 88 727 minutes 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 89 600 building 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 90 774 mosque 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 91 728 left 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 92 800 foot 35
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 93 801 center 38
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 94 722 town 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 95 802 august 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 96 767 bhutani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 97 803 spent 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 98 723 morning 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 99 804 demonstration 11
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 100 805 cricket 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 101 806 match 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 102 264 national 14
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 103 807 stadium 35
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 104 268 game 18
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 105 767 bhutani 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 106 808 driven 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 107 436 services 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 108 772 korongi 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 109 773 road 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 110 809 stayed 5
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 111 810 dinner 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 112 793 men 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 113 16 café 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 114 811 zouk 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 115 812 khayaban 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 116 813 shamsheer 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 117 814 downtown 10
35 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing39 118 287 karachi 5
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 0 490 surveillance 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 1 78 date 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 2 79 october 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 3 491 provided 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 4 492 cia 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 5 493 israeli 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 6 494 defense 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 7 207 forces 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 8 231 military 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 9 495 directorate 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 10 0 telephone 37
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 11 490 surveillance 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 12 496 muhammad 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 13 497 kasem 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 14 498 gaza 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 15 3 call 37
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 16 815 abdullah 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 17 520 khouri 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 18 36 mobile 37
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 19 498 gaza 19
36 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing4 20 764 september 34
